Date,Direct,Regular,,
21-09-2022,51.9906,48.7243,,
20-09-2022,52.308,49.023,,
19-09-2022,51.7473,48.4988,,
16-09-2022,51.7146,48.4719,,
15-09-2022,52.7059,49.4022,,
14-09-2022,52.7911,49.4834,,
13-09-2022,53.1433,49.8148,,
12-09-2022,52.8258,49.5186,,
09-09-2022,52.4691,49.1886,,
08-09-2022,52.2687,49.0022,,
07-09-2022,51.377,48.1677,,
06-09-2022,51.4646,48.2512,,
05-09-2022,51.3348,48.1309,,
02-09-2022,51.1622,47.9733,,
01-09-2022,51.1309,47.9454,,
30-08-2022,51.3263,48.1315,,
29-08-2022,50.7145,47.5592,,
26-08-2022,51.5554,48.3521,,
25-08-2022,51.2292,48.0477,,
24-08-2022,51.3688,48.1801,,
23-08-2022,51.3001,48.117,,
22-08-2022,51.438,48.2478,,
19-08-2022,52.2012,48.9681,,
18-08-2022,52.6126,49.3556,,
17-08-2022,52.7112,49.4495,,
16-08-2022,52.368,49.1291,,
12-08-2022,51.8644,48.6624,,
11-08-2022,51.8196,48.6219,,
10-08-2022,51.2162,48.0571,,
08-08-2022,51.2029,48.0475,,
05-08-2022,50.9908,47.8529,,
04-08-2022,50.8873,47.7571,,
03-08-2022,50.5703,47.4611,,
02-08-2022,50.6442,47.5319,,
01-08-2022,50.6558,47.5442,,
29-07-2022,49.9775,46.9119,,
28-07-2022,49.6669,46.6218,,
27-07-2022,48.6198,45.6404,,
26-07-2022,48.735,45.7499,,
25-07-2022,49.0597,46.0561,,
22-07-2022,49.4641,46.44,,
21-07-2022,49.2078,46.2008,,
20-07-2022,48.8662,45.8815,,
19-07-2022,48.2224,45.2785,,
18-07-2022,48.2078,45.2661,,
15-07-2022,47.6411,44.7382,,
14-07-2022,47.6812,44.7771,,
13-07-2022,47.9708,45.0505,,
12-07-2022,48.4055,45.4601,,
11-07-2022,48.8655,45.8935,,
08-07-2022,48.7315,45.772,,
07-07-2022,48.2713,45.3411,,
06-07-2022,47.8395,44.9369,,
05-07-2022,47.1476,44.2883,,
04-07-2022,47.1749,44.3153,,
01-07-2022,46.8073,43.9741,,
30-06-2022,46.8274,43.9943,,
29-06-2022,46.715,43.8901,,
28-06-2022,47.3139,44.4541,,
27-06-2022,47.5907,44.7156,,
24-06-2022,46.7348,43.9154,,
23-06-2022,46.131,43.3493,,
22-06-2022,45.919,43.1514,,
21-06-2022,46.1855,43.4032,,
20-06-2022,45.4885,42.7495,,
17-06-2022,45.433,42.7013,,
16-06-2022,46.0539,43.2862,,
15-06-2022,46.5659,43.7688,,
14-06-2022,46.4984,43.7067,,
13-06-2022,47.0186,44.197,,
10-06-2022,48.2221,45.3324,,
09-06-2022,48.8738,45.9465,,
08-06-2022,48.7184,45.8018,,
07-06-2022,48.8466,45.9238,,
06-06-2022,48.8664,45.9438,,
03-06-2022,49.3231,46.3775,,
02-06-2022,49.2763,46.3349,,
01-06-2022,49.4131,46.465,,
31-05-2022,49.5594,46.604,,
30-05-2022,49.2537,46.318,,
27-05-2022,48.4457,45.5623,,
26-05-2022,47.7411,44.901,,
25-05-2022,47.4122,44.593,,
24-05-2022,48.015,45.1614,,
23-05-2022,47.9598,45.1109,,
20-05-2022,48.1445,45.2887,,
19-05-2022,47.5502,44.7311,,
18-05-2022,48.4873,45.614,,
17-05-2022,48.3132,45.4517,,
16-05-2022,47.6371,44.817,,
13-05-2022,47.1498,44.3626,,
12-05-2022,47.0201,44.2419,,
11-05-2022,48.1258,45.2837,,
10-05-2022,48.1193,45.279,,
09-05-2022,48.7994,45.9204,,
06-05-2022,49.0081,46.121,,
05-05-2022,49.9435,47.0029,,
04-05-2022,49.6482,46.7264,,
02-05-2022,49.9622,47.0249,,
29-04-2022,50.7205,47.7432,,
28-04-2022,50.6732,47.7001,,
27-04-2022,50.3224,47.3714,,
26-04-2022,51.0977,48.1028,,
25-04-2022,50.2483,47.3046,,
22-04-2022,51.0161,48.0319,,
21-04-2022,51.7525,48.7268,,
20-04-2022,51.6804,48.6605,,
19-04-2022,51.2306,48.2385,,
18-04-2022,51.667,48.6509,,
13-04-2022,52.2541,49.2115,,
12-04-2022,52.5707,49.5112,,
11-04-2022,53.4823,50.3714,,
08-04-2022,54.0076,50.8709,,
07-04-2022,53.7773,50.6556,,
06-04-2022,54.4538,51.2944,,
05-04-2022,54.7857,51.6087,,
04-04-2022,53.9793,50.8504,,
01-04-2022,52.8609,49.8009,,
31-03-2022,52.5141,49.4756,,
